"","mes","prom_Barrera","prom_Chochos","prom_Dani","prom_Velez"
"1",2024-03-01,1,0.2,0.6,0.4
"2",2024-04-01,0.5,0.263157894736842,0.447368421052632,0.315789473684211
"3",2024-05-01,0.529411764705882,0.611764705882353,0.6,0.411764705882353
"4",2024-06-01,0.543103448275862,0.517241379310345,0.568965517241379,0.517241379310345
"5",2024-07-01,0.583333333333333,0.5,0.541666666666667,0.4
"6",2024-08-01,0.583333333333333,0.583333333333333,0.583333333333333,0.333333333333333
"7",2024-09-01,0.422764227642276,0.463414634146341,0.447154471544715,0.439024390243902
"8",2024-10-01,0.51440329218107,0.522633744855967,0.506172839506173,0.45679012345679
"9",2024-11-01,0.464566929133858,0.47244094488189,0.456692913385827,0.464566929133858
"10",2024-12-01,0.440414507772021,0.487046632124352,0.455958549222798,0.321243523316062
